id,statcode,statnaam,jrstatcode,rubriek,id_2,LEVL_CODE,NUTS_ID,CNTR_CODE,NAME_LATN,NUTS_NAME,MOUNT_TYPE,URBN_TYPE,COAST_TYPE,FID,freq,sex,unit,age,geo\TIME_PERIOD,2014,2015,2016,2017,2018,2019
cbs_gemeente_2020_labelpoint.38,GM0163,Hellendoorn,2020GM0163,gemeente,NL213,"3",NL213,NL,Twente,Twente,"4","1","3",NL213,A,T,NR,TOTAL,NL213,"626342 ","625976 ","626525 ","627209 ","627848 ","629284 "
cbs_gemeente_2020_labelpoint.39,GM0164,Hengelo,2020GM0164,gemeente,NL213,"3",NL213,NL,Twente,Twente,"4","1","3",NL213,A,T,NR,TOTAL,NL213,"626342 ","625976 ","626525 ","627209 ","627848 ","629284 "
cbs_gemeente_2020_labelpoint.40,GM0166,Kampen,2020GM0166,gemeente,NL211,"3",NL211,NL,Noord-Overijssel,Noord-Overijssel,"4","2","3",NL211,A,T,NR,TOTAL,NL211,"360744 ","361694 ","364300 ","366319 ","368819 ","371608 "
cbs_gemeente_2020_labelpoint.41,GM0168,Losser,2020GM0168,gemeente,NL213,"3",NL213,NL,Twente,Twente,"4","1","3",NL213,A,T,NR,TOTAL,NL213,"626342 ","625976 ","626525 ","627209 ","627848 ","629284 "
cbs_gemeente_2020_labelpoint.42,GM0171,Noordoostpolder,2020GM0171,gemeente,NL230,"3",NL230,NL,Flevoland,Flevoland,"4","1","2",NL230,A,T,NR,TOTAL,NL230,"399893 ","401791 ","404068 ","407818 ","411670 ","416546 "
cbs_gemeente_2020_labelpoint.43,GM0173,Oldenzaal,2020GM0173,gemeente,NL213,"3",NL213,NL,Twente,Twente,"4","1","3",NL213,A,T,NR,TOTAL,NL213,"626342 ","625976 ","626525 ","627209 ","627848 ","629284 "
cbs_gemeente_2020_labelpoint.44,GM0175,Ommen,2020GM0175,gemeente,NL211,"3",NL211,NL,Noord-Overijssel,Noord-Overijssel,"4","2","3",NL211,A,T,NR,TOTAL,NL211,"360744 ","361694 ","364300 ","366319 ","368819 ","371608 "
cbs_gemeente_2020_labelpoint.45,GM0177,Raalte,2020GM0177,gemeente,NL212,"3",NL212,NL,Zuidwest-Overijssel,Zuidwest-Overijssel,"4","2","3",NL212,A,T,NR,TOTAL,NL212,"152611 ","152982 ","153455 ","154159 ","154834 ","155539 "
cbs_gemeente_2020_labelpoint.46,GM0180,Staphorst,2020GM0180,gemeente,NL211,"3",NL211,NL,Noord-Overijssel,Noord-Overijssel,"4","2","3",NL211,A,T,NR,TOTAL,NL211,"360744 ","361694 ","364300 ","366319 ","368819 ","371608 "
cbs_gemeente_2020_labelpoint.47,GM0183,Tubbergen,2020GM0183,gemeente,NL213,"3",NL213,NL,Twente,Twente,"4","1","3",NL213,A,T,NR,TOTAL,NL213,"626342 ","625976 ","626525 ","627209 ","627848 ","629284 "
